timestamp,sales_rank,asin,category,pages,stock_message,avg_review_score,no_reviews
"2023-02-08 02:02:56",2413,B63L3OE3QA,Fiction,416,"In stock",4.2,26114
"2023-02-08 02:11:09",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,534
"2023-02-08 02:54:53",5368,B1QLGDCPTN,Fiction,384,"In stock",4.2,13129
"2023-02-08 04:13:15",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,6992
"2023-02-08 04:13:59",40,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2199
"2023-02-08 05:15:41",156,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8146
"2023-02-08 05:32:21",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,38139
"2023-02-09 01:02:11",315,BXOF2OQ2RV,"Self Help/Psychology",304,"Only 3 left in stock",4.5,6309
"2023-02-09 01:47:46",85,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5339
"2023-02-09 01:57:33",3241,B63L3OE3QA,Fiction,416,"In stock",4.2,26178
"2023-02-09 02:05:13",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,550
"2023-02-09 02:41:43",3112,B1QLGDCPTN,Fiction,384,"In stock",4.2,13144
"2023-02-09 03:47:50",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7000
"2023-02-09 03:48:09",47,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2203
"2023-02-09 04:36:32",179,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8150
"2023-02-09 04:50:20",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,39022
"2023-02-10 01:08:07",328,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6311
"2023-02-10 02:03:48",125,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5345
"2023-02-10 02:17:53",3421,B63L3OE3QA,Fiction,416,"In stock",4.2,26233
"2023-02-10 02:26:57",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,557
"2023-02-10 03:15:42",4347,B1QLGDCPTN,Fiction,384,"In stock",4.2,13156
"2023-02-10 04:35:48",9,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7009
"2023-02-10 04:36:05",57,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2209
"2023-02-10 05:31:47",173,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8150
"2023-02-10 05:50:39",3,BB6Y3W6PVB,Biographies,416,"In stock",4.1,40200
"2023-02-11 01:04:06",329,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6315
"2023-02-11 01:57:19",91,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5354
"2023-02-11 02:09:16",2460,B63L3OE3QA,Fiction,416,"In stock",4.2,26283
"2023-02-11 02:17:10",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,567
"2023-02-11 02:56:38",3684,B1QLGDCPTN,Fiction,384,"In stock",4.2,13169
"2023-02-11 04:16:07",9,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7022
"2023-02-11 04:16:18",53,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2214
"2023-02-11 05:22:46",204,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8152
"2023-02-11 05:42:19",2,BB6Y3W6PVB,Fiction,416,"In stock",4.1,41217
"2023-02-12 01:03:17",336,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6317
"2023-02-12 01:51:08",94,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5357
"2023-02-12 02:01:54",3459,B63L3OE3QA,Fiction,416,"In stock",4.2,26342
"2023-02-12 02:09:45",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,579
"2023-02-12 02:56:08",3247,B1QLGDCPTN,Fiction,384,"In stock",4.2,13181
"2023-02-12 04:25:28",2,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7026
"2023-02-12 04:25:48",73,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2216
"2023-02-12 05:24:03",152,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8153
"2023-02-12 05:38:33",3,BB6Y3W6PVB,Biographies,416,"In stock",4.1,42121
"2023-02-13 01:02:13",344,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6322
"2023-02-13 01:45:19",70,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5366
"2023-02-13 01:55:40",1945,B63L3OE3QA,Fiction,416,"In stock",4.2,26402
"2023-02-13 02:03:11",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,589
"2023-02-13 02:35:49",4976,B1QLGDCPTN,Fiction,384,"In stock",4.2,13197
"2023-02-13 03:41:44",2,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7034
"2023-02-13 03:42:29",69,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2218
"2023-02-13 04:33:22",100,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8154
"2023-02-13 04:48:06",3,BB6Y3W6PVB,Biographies,416,"In stock",4.1,43133
"2023-02-14 01:00:00",254,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6326
"2023-02-14 01:46:04",81,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5374
"2023-02-14 01:58:55",2739,B63L3OE3QA,Fiction,416,"In stock",4.2,26468
"2023-02-14 02:07:48",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,595
"2023-02-14 02:50:07",11600,B1QLGDCPTN,Fiction,384,"In stock",4.2,13209
"2023-02-14 04:09:01",2,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7041
"2023-02-14 04:09:40",53,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2223
"2023-02-14 05:07:04",90,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8159
"2023-02-14 05:24:22",5,BB6Y3W6PVB,Biographies,416,"In stock",4.1,44221
"2023-02-15 01:06:19",261,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6328
"2023-02-15 02:02:54",95,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5384
"2023-02-15 02:14:56",2703,B63L3OE3QA,Fiction,416,"In stock",4.2,26520
"2023-02-15 02:23:02",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,611
"2023-02-15 02:58:57",6354,B1QLGDCPTN,Fiction,384,"In stock",4.2,13220
"2023-02-15 04:19:54",4,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7045
"2023-02-15 04:20:16",63,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2230
"2023-02-15 05:11:02",147,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8164
"2023-02-15 05:27:48",6,BB6Y3W6PVB,Biographies,416,"In stock",4.1,45376
"2023-02-16 00:58:28",266,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6332
"2023-02-16 01:40:26",112,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5391
"2023-02-16 01:49:19",2834,B63L3OE3QA,Fiction,416,"In stock",4.2,26574
"2023-02-16 01:56:16",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,626
"2023-02-16 02:33:28",8303,B1QLGDCPTN,Fiction,384,"In stock",4.2,13235
"2023-02-16 03:41:37",7,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7056
"2023-02-16 03:42:09",51,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2235
"2023-02-16 04:32:25",126,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8165
"2023-02-16 04:45:07",6,BB6Y3W6PVB,Biographies,416,"In stock",4.1,46342
"2023-02-17 00:57:33",226,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6336
"2023-02-17 01:37:58",102,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5393
"2023-02-17 01:48:10",2344,B63L3OE3QA,Fiction,416,"In stock",4.2,26628
"2023-02-17 01:55:49",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,645
"2023-02-17 02:32:15",13488,B1QLGDCPTN,Fiction,384,"In stock",4.2,13251
"2023-02-17 03:45:26",7,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7071
"2023-02-17 03:45:26",61,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2242
"2023-02-17 04:40:41",151,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8170
"2023-02-17 04:56:16",9,BB6Y3W6PVB,Biographies,416,"In stock",4.1,47339
"2023-02-18 01:04:05",330,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6341
"2023-02-18 01:46:45",134,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5400
"2023-02-18 01:57:33",1918,B63L3OE3QA,Fiction,416,"In stock",4.2,26693
"2023-02-18 02:05:51",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,679
"2023-02-18 02:46:28",11291,B1QLGDCPTN,Fiction,384,"In stock",4.2,13277
"2023-02-18 04:08:14",48,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2249
"2023-02-18 04:08:15",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7089
"2023-02-18 05:07:49",168,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8171
"2023-02-18 05:23:52",10,BB6Y3W6PVB,Biographies,416,"In stock",4.1,48023
"2023-02-19 00:58:11",313,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6346
