timestamp,sales_rank,asin,category,region,pages,stockmessage,avg_review_score,no_reviews
2023-02-09 04:36:32,179.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8150
2023-02-09 01:57:33,3241.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26178
2023-02-09 02:41:43,3112.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13144
2023-02-09 03:47:50,8.0,BMGITI1Y7T,Emotional Self Help,UK,368.0,In stock.,4.6,7000
2023-02-09 03:48:09,47.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2203
2023-02-09 04:50:20,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,39022
2023-02-12 04:25:28,2.0,BMGITI1Y7T,Higher Education of Biological Sciences,UK,368.0,In stock.,4.6,7026
2023-02-12 05:24:03,152.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8153
2023-02-12 02:09:45,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,579
2023-02-12 01:51:08,94.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5357
2023-02-12 02:56:08,3247.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13181
2023-02-12 04:25:48,73.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2216
2023-02-12 01:03:17,336.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6317
2023-02-12 05:38:33,3.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.1,42121
2023-02-12 02:01:54,3459.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26342
2023-02-13 04:48:06,3.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.1,43133
2023-02-13 02:35:49,4976.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13197
2023-02-13 01:55:40,1945.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26402
2023-02-13 02:03:11,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,589
2023-02-13 03:41:44,2.0,BMGITI1Y7T,Higher Education of Biological Sciences,UK,368.0,In stock.,4.6,7034
2023-02-08 02:11:09,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock.,4.7,534
2023-02-08 04:13:59,40.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2199
2023-02-08 01:04:46,247.0,BXOF2OQ2RV,Families & Parents,UK,304.0,In stock.,4.5,6302
